epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59159,1.119,3.35924,1.5098,0.00359,0.86413,0.17435,0.07635,1.38689,3.48318,2.09836,0.09204,4e-05,4e-05
2,12.3043,0.60647,2.48436,1.21277,0.00374,0.87841,0.14698,0.07063,1.52556,4.03016,2.56363,0.0830833,8.3317e-05,8.3317e-05
3,18.8985,0.5711,2.20742,1.18282,0.00317,0.70556,0.11011,0.06139,1.04352,3.73019,1.85185,0.0741249,0.000124852,0.000124852
4,25.5706,0.60923,1.98554,1.19392,0.00401,0.65952,0.13121,0.06733,1.02174,3.41329,1.57223,0.0651646,0.000164605,0.000164605
5,29.6314,0.57582,1.73964,1.12683,0.08176,0.50079,0.23595,0.16042,0.79203,3.06894,1.43316,0.0562026,0.000202576,0.000202576
6,34.6017,0.51593,1.54998,1.11319,0.31938,0.14714,0.17885,0.13074,0.73481,2.84569,1.3439,0.0472388,0.000238765,0.000238765
7,40.3143,0.49612,1.33392,1.0691,0.40174,0.17247,0.23976,0.18329,0.66371,2.68149,1.26134,0.0382732,0.000273172,0.000273172
8,43.6562,0.50661,1.25748,1.09179,0.41879,0.30767,0.23876,0.16775,0.73126,2.67442,1.3312,0.0293058,0.000305797,0.000305797
9,47.1831,0.4898,1.14512,1.05019,0.52323,0.41651,0.31378,0.22539,0.7714,2.53682,1.3396,0.0203366,0.00033664,0.00033664
10,51.6335,0.47746,1.14748,1.08142,0.42779,0.40016,0.32051,0.24264,0.70918,2.40238,1.2501,0.0113657,0.000365701,0.000365701
11,57.6136,0.48662,1.01064,1.07651,0.56705,0.44742,0.46139,0.35164,0.72906,2.01702,1.30021,0.00239298,0.00039298,0.00039298
12,61.7283,0.45685,1.01012,1.07603,0.68497,0.54679,0.5983,0.47449,0.70241,1.66059,1.27102,0.0003911,0.0003911,0.0003911
13,65.1425,0.46224,1.01426,1.05643,0.52679,0.62499,0.6024,0.53927,0.59477,1.57131,1.17941,0.0003812,0.0003812,0.0003812
14,68.6614,0.43812,0.96034,1.05589,0.79613,0.6324,0.63767,0.56735,0.56875,1.6678,1.13945,0.0003713,0.0003713,0.0003713
15,74.2257,0.46698,1.02284,1.04459,0.84791,0.62823,0.72654,0.63711,0.53159,1.53001,1.11165,0.0003614,0.0003614,0.0003614
16,78.8586,0.44227,0.92297,1.03124,0.72093,0.66175,0.66974,0.585,0.58893,1.57983,1.15435,0.0003515,0.0003515,0.0003515
17,82.4497,0.45169,0.91606,1.05411,0.93679,0.52007,0.68231,0.60799,0.55174,1.6067,1.12718,0.0003416,0.0003416,0.0003416
18,85.9777,0.45597,0.90214,1.04965,0.93861,0.53286,0.69488,0.60869,0.5273,1.54252,1.08306,0.0003317,0.0003317,0.0003317
19,90.2905,0.42311,0.82948,1.01621,0.66918,0.65918,0.70976,0.62979,0.54092,1.4799,1.11758,0.0003218,0.0003218,0.0003218
20,96.3487,0.43317,0.83345,1.01888,0.78436,0.72506,0.69116,0.60675,0.57961,1.43186,1.13587,0.0003119,0.0003119,0.0003119
21,100.258,0.43785,0.82964,1.04511,0.84344,0.72236,0.69676,0.61424,0.55818,1.41288,1.13267,0.000302,0.000302,0.000302
22,103.827,0.41612,0.81299,1.00136,0.8169,0.69857,0.71676,0.60282,0.57945,1.48664,1.13288,0.0002921,0.0002921,0.0002921
23,107.328,0.41296,0.76561,1.02212,0.8395,0.66249,0.73287,0.60897,0.58431,1.5609,1.09847,0.0002822,0.0002822,0.0002822
24,112.65,0.36989,0.75156,0.99193,0.84237,0.73333,0.74751,0.66236,0.48684,1.38392,1.01728,0.0002723,0.0002723,0.0002723
25,117.327,0.40955,0.7518,1.01921,0.90009,0.72578,0.77658,0.71912,0.45702,1.24112,1.03176,0.0002624,0.0002624,0.0002624
26,120.743,0.38971,0.74894,0.99675,0.84739,0.72761,0.78542,0.71694,0.4647,1.19075,1.04344,0.0002525,0.0002525,0.0002525
27,124.365,0.39956,0.70452,1.02208,0.86852,0.74054,0.77235,0.70084,0.51015,1.19686,1.07711,0.0002426,0.0002426,0.0002426
28,128.963,0.37321,0.75131,1.01147,0.88529,0.72633,0.7587,0.68847,0.55189,1.22489,1.09524,0.0002327,0.0002327,0.0002327
29,134.543,0.40355,0.67976,1.01362,0.8806,0.75402,0.76837,0.70447,0.55193,1.22275,1.09409,0.0002228,0.0002228,0.0002228
30,138.152,0.37824,0.67655,1.01355,0.89896,0.71867,0.77958,0.7245,0.52003,1.2172,1.06665,0.0002129,0.0002129,0.0002129
31,141.663,0.36409,0.67966,1.00162,0.92607,0.68597,0.79158,0.73627,0.50092,1.22355,1.05597,0.000203,0.000203,0.000203
32,145.806,0.38296,0.65524,1.00611,0.90856,0.74394,0.79702,0.73142,0.51801,1.16493,1.07231,0.0001931,0.0001931,0.0001931
33,151.3,0.3775,0.67671,1.01072,0.92669,0.75063,0.80637,0.7323,0.51732,1.14947,1.06549,0.0001832,0.0001832,0.0001832
34,155.605,0.37602,0.67526,1.00499,0.88873,0.75435,0.79692,0.72385,0.51358,1.15247,1.06155,0.0001733,0.0001733,0.0001733
35,158.978,0.35537,0.64423,0.97929,0.86902,0.74635,0.79563,0.72527,0.50605,1.15563,1.06113,0.0001634,0.0001634,0.0001634
36,162.852,0.32589,0.6084,0.98561,0.86211,0.73063,0.78481,0.71004,0.50412,1.1192,1.0651,0.0001535,0.0001535,0.0001535
37,168.366,0.32797,0.5981,0.9781,0.86933,0.73063,0.77353,0.70998,0.48205,1.09797,1.04516,0.0001436,0.0001436,0.0001436
38,172.781,0.33776,0.61405,0.98197,0.90004,0.72715,0.78288,0.72455,0.44943,1.03949,1.01597,0.0001337,0.0001337,0.0001337
39,176.308,0.35139,0.60596,0.98479,0.89958,0.72073,0.78759,0.73114,0.43279,1.00009,1.00188,0.0001238,0.0001238,0.0001238
40,179.779,0.33688,0.59389,0.97889,0.87171,0.77063,0.79249,0.73583,0.42222,0.9705,0.99212,0.0001139,0.0001139,0.0001139
41,188.56,0.41674,1.08898,1.08118,0.87638,0.77063,0.78589,0.73196,0.42712,0.98031,0.99065,0.000104,0.000104,0.000104
1,7.77378,1.119,3.35924,1.5098,0.00359,0.86413,0.17435,0.07635,1.38689,3.48318,2.09836,0.09204,4e-05,4e-05
2,14.962,0.60647,2.48436,1.21277,0.00374,0.87841,0.14698,0.07063,1.52556,4.03016,2.56363,0.0830833,8.3317e-05,8.3317e-05
3,19.1384,0.5711,2.20742,1.18282,0.00317,0.70556,0.11011,0.06139,1.04352,3.73019,1.85185,0.0741249,0.000124852,0.000124852
4,22.4124,0.60923,1.98554,1.19392,0.00401,0.65952,0.13121,0.06733,1.02174,3.41329,1.57223,0.0651646,0.000164605,0.000164605
5,26.0863,0.57582,1.73964,1.12683,0.08176,0.50079,0.23595,0.16042,0.79203,3.06894,1.43316,0.0562026,0.000202576,0.000202576
6,31.4978,0.51593,1.54998,1.11319,0.31938,0.14714,0.17885,0.13074,0.73481,2.84569,1.3439,0.0472388,0.000238765,0.000238765
7,36.97,0.49612,1.33392,1.0691,0.40174,0.17247,0.23976,0.18329,0.66371,2.68149,1.26134,0.0382732,0.000273172,0.000273172
8,40.4994,0.50661,1.25748,1.09179,0.41879,0.30767,0.23876,0.16775,0.73126,2.67442,1.3312,0.0293058,0.000305797,0.000305797
9,43.9264,0.4898,1.14512,1.05019,0.52323,0.41651,0.31378,0.22539,0.7714,2.53682,1.3396,0.0203366,0.00033664,0.00033664
10,48.158,0.47746,1.14748,1.08142,0.42779,0.40016,0.32051,0.24264,0.70918,2.40238,1.2501,0.0113657,0.000365701,0.000365701
11,54.0605,0.48662,1.01064,1.07651,0.56705,0.44742,0.46139,0.35164,0.72906,2.01702,1.30021,0.00239298,0.00039298,0.00039298
12,58.6157,0.45685,1.01012,1.07603,0.68497,0.54679,0.5983,0.47449,0.70241,1.66059,1.27102,0.0003911,0.0003911,0.0003911
13,62.1834,0.46224,1.01426,1.05643,0.52679,0.62499,0.6024,0.53927,0.59477,1.57131,1.17941,0.0003812,0.0003812,0.0003812
14,65.6916,0.43812,0.96034,1.05589,0.79613,0.6324,0.63767,0.56735,0.56875,1.6678,1.13945,0.0003713,0.0003713,0.0003713
15,70.5201,0.46698,1.02284,1.04459,0.84791,0.62823,0.72654,0.63711,0.53159,1.53001,1.11165,0.0003614,0.0003614,0.0003614
16,76.2813,0.44227,0.92297,1.03124,0.72093,0.66175,0.66974,0.585,0.58893,1.57983,1.15435,0.0003515,0.0003515,0.0003515
17,79.8089,0.45169,0.91606,1.05411,0.93679,0.52007,0.68231,0.60799,0.55174,1.6067,1.12718,0.0003416,0.0003416,0.0003416
18,83.2431,0.45597,0.90214,1.04965,0.93861,0.53286,0.69488,0.60869,0.5273,1.54252,1.08306,0.0003317,0.0003317,0.0003317
19,86.6717,0.42311,0.82948,1.01621,0.66918,0.65918,0.70976,0.62979,0.54092,1.4799,1.11758,0.0003218,0.0003218,0.0003218
20,92.1192,0.43317,0.83345,1.01888,0.78436,0.72506,0.69116,0.60675,0.57961,1.43186,1.13587,0.0003119,0.0003119,0.0003119
21,98.0099,0.43785,0.82964,1.04511,0.84344,0.72236,0.69676,0.61424,0.55818,1.41288,1.13267,0.000302,0.000302,0.000302
22,104.427,0.41612,0.81299,1.00136,0.8169,0.69857,0.71676,0.60282,0.57945,1.48664,1.13288,0.0002921,0.0002921,0.0002921
23,108.081,0.41296,0.76561,1.02212,0.8395,0.66249,0.73287,0.60897,0.58431,1.5609,1.09847,0.0002822,0.0002822,0.0002822
24,111.386,0.36989,0.75156,0.99193,0.84237,0.73333,0.74751,0.66236,0.48684,1.38392,1.01728,0.0002723,0.0002723,0.0002723
25,116.054,0.40955,0.7518,1.01921,0.90009,0.72578,0.77658,0.71912,0.45702,1.24112,1.03176,0.0002624,0.0002624,0.0002624
26,121.939,0.38971,0.74894,0.99675,0.84739,0.72761,0.78542,0.71694,0.4647,1.19075,1.04344,0.0002525,0.0002525,0.0002525
27,125.957,0.39956,0.70452,1.02208,0.86852,0.74054,0.77235,0.70084,0.51015,1.19686,1.07711,0.0002426,0.0002426,0.0002426
28,129.325,0.37321,0.75131,1.01147,0.88529,0.72633,0.7587,0.68847,0.55189,1.22489,1.09524,0.0002327,0.0002327,0.0002327
29,132.773,0.40355,0.67976,1.01362,0.8806,0.75402,0.76837,0.70447,0.55193,1.22275,1.09409,0.0002228,0.0002228,0.0002228
30,137.558,0.37824,0.67655,1.01355,0.89896,0.71867,0.77958,0.7245,0.52003,1.2172,1.06665,0.0002129,0.0002129,0.0002129
31,143.529,0.36409,0.67966,1.00162,0.92607,0.68597,0.79158,0.73627,0.50092,1.22355,1.05597,0.000203,0.000203,0.000203
32,147.312,0.38296,0.65524,1.00611,0.90856,0.74394,0.79702,0.73142,0.51801,1.16493,1.07231,0.0001931,0.0001931,0.0001931
33,150.904,0.3775,0.67671,1.01072,0.92669,0.75063,0.80637,0.7323,0.51732,1.14947,1.06549,0.0001832,0.0001832,0.0001832
34,154.327,0.37602,0.67526,1.00499,0.88873,0.75435,0.79692,0.72385,0.51358,1.15247,1.06155,0.0001733,0.0001733,0.0001733
35,159.525,0.35537,0.64423,0.97929,0.86902,0.74635,0.79563,0.72527,0.50605,1.15563,1.06113,0.0001634,0.0001634,0.0001634
36,165.35,0.32589,0.6084,0.98561,0.86211,0.73063,0.78481,0.71004,0.50412,1.1192,1.0651,0.0001535,0.0001535,0.0001535
37,169.11,0.32797,0.5981,0.9781,0.86933,0.73063,0.77353,0.70998,0.48205,1.09797,1.04516,0.0001436,0.0001436,0.0001436
38,172.494,0.33776,0.61405,0.98197,0.90004,0.72715,0.78288,0.72455,0.44943,1.03949,1.01597,0.0001337,0.0001337,0.0001337
39,175.844,0.35139,0.60596,0.98479,0.89958,0.72073,0.78759,0.73114,0.43279,1.00009,1.00188,0.0001238,0.0001238,0.0001238
40,180.951,0.33688,0.59389,0.97889,0.87171,0.77063,0.79249,0.73583,0.42222,0.9705,0.99212,0.0001139,0.0001139,0.0001139
41,188.06,0.41674,1.08898,1.08118,0.87638,0.77063,0.78589,0.73196,0.42712,0.98031,0.99065,0.000104,0.000104,0.000104
